,data_type,garnet_formula
295,mixed,CaMg2Ga2Si3O12
296,mixed,CaMg2Ga2Si3O12
297,mixed,CaMg2Ga2Si3O12
298,mixed,CaMg2Ga2Si3O12
299,mixed,CaMg2Ga2Si3O12
300,mixed,LuZr2Mg2Al3O12
301,mixed,LuZr2Mg2Al3O12
302,mixed,LuZr2Mg2Al3O12
303,mixed,LuZr2Mg2Al3O12
304,mixed,LuZr2Mg2Al3O12
305,mixed,LuZr2Mg2Al3O12
306,mixed,LuZr2Mg2Al3O12
307,mixed,LuZr2Mg2Al3O12
308,mixed,LuZr2Mg2Al3O12
309,mixed,LuZr2Mg2Al3O12
310,mixed,LuZr2Mg2Al3O12
311,mixed,LuZr2Mg2Al3O12
312,mixed,LuZr2Mg2Al3O12
313,mixed,LuZr2Mg2Al3O12
314,mixed,LuZr2Mg2Al3O12
315,mixed,LuZr2Mg2Al3O12
316,mixed,LuZr2Mg2Al3O12
317,mixed,LuZr2Mg2Al3O12
318,mixed,LuZr2Mg2Al3O12
319,mixed,LuZr2Mg2Al3O12
320,mixed,TmZr2Zn2Ga3O12
321,mixed,TmZr2Zn2Ga3O12
322,mixed,TmZr2Zn2Ga3O12
323,mixed,TmZr2Zn2Ga3O12
324,mixed,TmZr2Zn2Ga3O12
325,mixed,TmZr2Zn2Ga3O12
326,mixed,TmZr2Zn2Ga3O12
327,mixed,TmZr2Zn2Ga3O12
328,mixed,TmZr2Zn2Ga3O12
329,mixed,TmZr2Zn2Ga3O12
330,mixed,TmZr2Zn2Ga3O12
331,mixed,TmZr2Zn2Ga3O12
332,mixed,TmZr2Zn2Ga3O12
333,mixed,TmZr2Zn2Ga3O12
334,mixed,TmZr2Zn2Ga3O12
335,mixed,TmZr2Zn2Ga3O12
336,mixed,TmZr2Zn2Ga3O12
337,mixed,TmZr2Zn2Ga3O12
338,mixed,TmZr2Zn2Ga3O12
339,mixed,TmZr2Zn2Ga3O12
340,mixed,TbNa2Nb2Ga3O12
341,mixed,TbNa2Nb2Ga3O12
342,mixed,TbNa2Nb2Ga3O12
343,mixed,TbNa2Nb2Ga3O12
344,mixed,TbNa2Nb2Ga3O12
345,mixed,TbNa2Nb2Ga3O12
346,mixed,TbNa2Nb2Ga3O12
347,mixed,TbNa2Nb2Ga3O12
348,mixed,TbNa2Nb2Ga3O12
349,mixed,TbNa2Nb2Ga3O12
